ac,series,hzname,top,bottom
17238,BITTERWATER,C3r,152,165
17201,FOMSENG,C2r,46,150
17071,GRASSYCAN,Bqm,30,33
17050,VADAHO,3Bqkm,66,97
17050,VADAHO,Bqkm,46,48
17008,PLASKETT,01,3,0
16829,ROGGER,Oi,5,6
16808,WHITEROBE,C,0,3
16663,WOOLSTALF,Oi,3,0
16659,OSHONE,2Bkq,119,152
16627,HUNTMOUNT,Oi,0,1
16431,LOUIE,C2,81,152
16413,GREYSTOKE,O,5,6
16413,GREYSTOKE,A1,0,8
16362,OAKSIDE,Oe,4,9
16362,OAKSIDE,Oi,0,4
16316,ALCOT,Oi,5,6
16089,TRAILHEAD,Oi,0,2
16041,RIVALIER,Oi,8,0
16033,MALAMA,2C1/Oa,0,8
16033,MALAMA,2C2,8,127
15992,COYATA,O2,3,4
15846,TRIMMER,C,79,102
15839,ZING,Oi,4,5
15728,APTOS,0,3,4
15677,BOHNA,O1,5,6
15624,ROCKYSADDLE,Oi,0,6
15567,DEETZ,IIIC6,135,165
15516,TAMBA,Cg,132,198
15516,TAMBA,A12,13,25
15483,NANIAK,IIC3,127,152
15483,NANIAK,IIC2,61,127
15287,PAPAI,2C2,26,135
15118,OXENDINE,Bqm,25,51
15077,SHARPSHOOTER,Oi,3,4
14897,BETRA,2Bqm,53,107
14811,GOLDEAGLE,2Ck1,84,124
14811,GOLDEAGLE,A,0,8
14811,GOLDEAGLE,2Ck2,124,150
14811,GOLDEAGLE,Bt2,23,64
14811,GOLDEAGLE,Btk,64,84
14811,GOLDEAGLE,Bt1,8,23
14745,BONNEYRIDGE,Oi,0,3
14618,BONSALL,C3,279,305
14591,ATWELL,Oi,0,5
14369,PINOLE,Oi,1,2
14334,GOSCH,Oi,3,0
14259,GRAVECREEK,Oi,3,4
14224,ROCKYGLEN,Oi,0,3
14153,SCOURED,Oi,0,3
14153,SCOURED,2C,43,76
14017,DITCHCAMP,A1,0,18
13917,BUCKING,O1,5,6
13917,BUCKING,C3r,130,142
13903,WOLFPEAK,Oi,1,2
13859,ZALDA,Bqkm,18,20
13848,CHESTERTON,Cm,86,107
13826,UMIKOA,2C,127,128
13798,CATELLI,0,8,9
13675,CAMEEK,Bqm2,61,107
13675,CAMEEK,Bqm1,48,61
13640,DENIHLER,Oi,0,5
13640,DENIHLER,Oe,5,12
13526,WITCHER,Oi,5,0
13472,HOOSIMBIM,Oi,5,0
13447,DAGGET,Oi,0,3
13440,BLUCHER,IIC1,41,58
13425,TWELVEMILE,0i,3,4
13423,DIAMOND SPRINGS,C3,102,127
13420,SPLAWN,Oi,3,0
13400,HAMBONE,Oi,5,0
13272,BOGUS,O2,3,4
13217,CUMMISKEY,0,3,4
13085,MEEKS,01,0,5
12989,HAKUMA,Bw,20,31
12989,HAKUMA,A,0,20
12941,PULANTAT,Oi,3,4
12876,ORLAND,C2,48,99
12805,GASQUET,Oi,0,2
12758,CRANEFLAT,Oe,3,3
12758,CRANEFLAT,Oi,0,3
12758,CRANEFLAT,Oa,3,5
12655,PHIPPS,02,1,2
12652,LOAFERCREEK,Oi,0,1
12594,EASTBIGGS,3Bqm2,86,152
12564,OLLIERIVAS,Bqm,58,79
12542,BUNDORF,2Bqkm,48,69
12533,KILOA,2C2,25,128
12528,SOONAHBE,2C,203,213
12460,LUTA,Oi,1,0
12453,SCAATH,Oe,4,5
12453,SCAATH,Oi,0,4
12417,HOUSEFIELD,Oi,8,9
12412,MOUND,Oi,0,5
12258,FLORAS,0i,0,3
12139,PINNACLES,C2,64,152
12132,HOLILLIPAH,C1,20,81
12132,HOLILLIPAH,C4,119,155
12132,HOLILLIPAH,A,,20
12000,KAPUA,2C3,46,152
11878,SATURDAY,Oi,3,0
11770,GAVEL,0,4,5
11712,FIRMOUNTAIN,C,90,172
11670,PUTT,01,5,6
11595,MOUNTYANA,Oi,0,3
11595,MOUNTYANA,Oe,3,5
11592,PALAPALAI,Ap2,13,29
11592,PALAPALAI,Ap1,0,13
11592,PALAPALAI,Bw2,62,99
11592,PALAPALAI,Bw1,29,62
11565,WINDAGE,Oi,0,5
11464,SCHOTT,Oi,0,5
11440,GUNNEL,Bqkm,46,94
11423,LASCO,Oi,5,0
11289,GLORIA,B2t,41,58
11238,KALO,0,5,0
11187,TOADTOWN,Oe,5,8
11187,TOADTOWN,Oi,0,5
11085,BOSLAND,Oi,0,3
11081,TROSI,2C,66,152
11041,MACKERLAKE,Oi,0,5
11040,SPINNAKER,Oi,0,3
11039,BOOMTOWN,0l,10,8
11039,BOOMTOWN,02,8,0
10932,ASABEAN,0,5,6
10891,BUTANO,A0,5,0
10806,PUAULU,3Bw1,55,61
10806,PUAULU,6A,86,89
10731,BALDMOUNTAIN,C2r,132,133
10731,BALDMOUNTAIN,01,3,0
10698,DULANDY,Oi,0,3
10560,FANCHER,O1,1,0
10550,PITTVILLE,3Bqm,213,214
10526,BRABBLE,2Bkqm,84,97
10526,BRABBLE,2,97,98
10518,SHORTCUT,C2r,36,51
10487,AGER,Bssk1,18,64
10487,AGER,A2,5,18
10455,FERNCREEK,Oi,5,6
10418,BEECEE,Oi,0,1
10418,BEECEE,Oe,1,2
10377,NISENE,0,5,6
10357,MOUNTHOPE,Oi,0,3
10341,DEADMAN,Oi,0,5
10337,SALTOS,O,0,1
10316,MALMESA,Bqkm,38,41
10298,KANG,O,5,0
10237,MAXWELL,A2,25,66
10237,MAXWELL,A1,0,25
10237,MAXWELL,AC,66,97
10228,TYNDALL,B22,61,104
10228,TYNDALL,C2,122,132
10128,POLANDER,0i,3,4
10103,WITEFELS,Oi,0,3
10088,BIGELOW,C3,165,170
10088,BIGELOW,01,3,4
10062,FREEZEOUT,0i,3,0
10056,BURCHELL,A1,0,51
10039,HORSESHOE,0,8,0
10039,HORSESHOE,3C,150,165
10034,ACAMPO,Bqkm1,119,124
9959,TANGAIR,A2,10,61
9889,ALTA,Oi,0,3
9887,ATRAVESADA,Oi,0,1
9807,BADGERPASS,Oi,0,5
9807,HANA,2C,86,152
9746,STOHLMAN,Al,,3
9746,STOHLMAN,Bt2,38,41
9746,STOHLMAN,Btl,18,38
9746,STOHLMAN,A2,3,18
9723,HARTLESS,0,3,4
9675,WELLSED,Bqkm,89,127
9655,BERRYCREEK,Oe,0,2
9655,BERRYCREEK,Oa,2,5
9631,BROWNSCREEK,Oi,3,0
9578,GARCIA,Oi,3,4
9499,SECCA,C,114,145
9481,WINNIBULLI,Oi,5,0
9480,STEINMETZ,Oi,3,4
9375,OSSAGON,Oi,0,10
9339,BEAL,Oi,1,2
9335,JUNIPERLAKE,Oi,0,3
9286,NOTNED,01,8,9
9286,NOTNED,C2,137,157
9283,MARCUSE,B22ca,36,61
9283,MARCUSE,A12,18,23
9283,MARCUSE,A11,0,18
9283,MARCUSE,B3,61,94
9283,MARCUSE,C,94,152
9280,LALAAU,2C2,8,135
9203,RIZ,C2,117,152
9196,MARTEE,Oi,1,0
9086,SHANTOWN,3Ck2,124,152
9051,LAUGENOUR,2C1,51,76
9051,LAUGENOUR,4C3,173,208
8995,HANIPOE,Bw1,20,53
8961,RYER,Bl,25,51
8961,RYER,Al,,25
8961,RYER,IIC,163,213
8905,RAMSHORN,IIC2,38,39
8838,HADSELVILLE,A,,18
8788,PINSPRING,Bt,64,76
8786,SAN SIMEON,02,5,6
8747,STACHER,Oi,8,0
8662,LANGELLAIN,O,1,0
8652,GOOLAWAY,O,5,6
8584,PAHIPA,Oe,0,5
8571,DOUGCITY,Oi,3,0
8567,VANSICKLE,Bqm,33,36
8546,TAKPOCHAO,Oi,0,1
8546,TAKPOCHAO,Al,1,3
8513,SLEEPER,01,3,4
8444,GUDGREY,0,4,5
8437,KAMAOLE,IIC,51,52
8410,JAFA,02,5,6
8386,KIKONI,3C,127,152
8349,SWEEN,All,,10
8349,SWEEN,A12,10,33
8349,SWEEN,C,69,81
8349,SWEEN,B22t,48,69
8342,HONUAPO,Ap,0,48
8323,DECY,01,3,4
8281,CANYONCREEK,A2,10,23
8281,CANYONCREEK,Oi,8,0
8216,HUSE,C,43,51
8216,HUSE,01,3,0
8180,HOOLEHUA,B21,69,124
8152,PARKS,01,5,6
8128,FALERIA,Oi,0,3
8086,AHPAH,Oi,0,5
7886,NEVADAFALLS,Oi,0,0
7878,KAIMU,2C2,38,102
7872,ARKRIGHT,Oi,3,0
7840,PARKFIELD,B2t,36,61
7831,ULHALF,Oi,5,6
7768,BURNEY,Oi,3,0
7749,BUOY,Oi,0,0
7727,SCARIBOU,Oi,5,0
7709,DELLEKER,02,8,0
7703,BARPEAK,Oi,5,0
7674,KETTLEBELLY,Oi,3,0
7666,OROVILLE,3Bqm2,79,152
7666,OROVILLE,3Bqm1,58,79
7655,MINERSVILLE,Oi,5,0
7655,MINERSVILLE,C,76,109
7653,VOLTAIRE,Cq2,74,97
7638,HERMIT,Oi,5,0
7629,PELELIU,01,1,2
7620,SWAINOW,Oi,5,0
7580,PUALI,Oe,0,10
