"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"Oi",0,13,"5YR",3,2,"",,,"Mendeltna",1
"Oe",13,23,"5YR",2.5,1,"",,,"Mendeltna",1
"A",23,28,"10YR",3,2,"",,,"Mendeltna",1
"2C",28,64,"5Y",4,2,"",,,"Mendeltna",1
"2Cf",64,86,"5Y",4,2,"",,,"Mendeltna",1
"Oi",0,8,"10YR",2,1,"",,,"Klanelneechena",1
"Oe1",8,20,"10YR",2,1,"",,,"Klanelneechena",1
"Oe2",20,30,"2.5YR",2.5,2,"",,,"Klanelneechena",1
"A",30,33,"10YR",2,2,"",,,"Klanelneechena",1
"2C",33,71,"10YR",3,1,"",,,"Klanelneechena",1
"2Cf",71,97,"10YR",3,1,"",,,"Klanelneechena",1
"Oi",0,13,"5YR",3,2,"",,,"Klawasi",1
"Oe",13,23,"5YR",2.5,1,"",,,"Klawasi",1
"A",23,28,"6.5YR",3,1,"",,,"Klawasi",1
"AB",28,33,"7.5YR",3,2,"",,,"Klawasi",1
"2C",33,58,"5Y",4,2,"",,,"Klawasi",1
"2Cf",58,84,"5Y",4,2,"",,,"Klawasi",1
"Oi",0,18,"7.5YR",4,2,"",,,"Kuslina",1
"Oe",18,25,"10YR",2,2,"",,,"Kuslina",1
"A",25,36,"10YR",2,2,"10YR",2,1,"Kuslina",1
"2C1",36,43,"2.5Y",3,2,"",,,"Kuslina",1
"2C2",43,53,"2.5Y",3,2,"",,,"Kuslina",1
"2Cf",43,79,"2.5Y",3,2,"",,,"Kuslina",1
"Oi",0,5,"5YR",2.5,2,"",,,"Kwatahein",1
"Oe",5,23,"5YR",2.5,1,"",,,"Kwatahein",1
"Oa",23,30,"5YR",2.5,1,"",,,"Kwatahein",1
"E",30,33,"7.5YR",5,2,"",,,"Kwatahein",1
"Bhs",33,51,"5YR",2.5,2,"",,,"Kwatahein",1
"Bs",51,71,"5YR",4,6,"",,,"Kwatahein",1
"C",71,185,"7.5YR",5,8,"",,,"Kwatahein",1
"O1",0,25,"7.5YR",4,4,"",,,"Medfra",1
"A1",25,33,"10YR",2,2,"",,,"Medfra",1
"C1",33,61,"2.5Y",4,4,"10YR",4,3,"Medfra",1
"C2f",61,79,"5Y",4,3,"5Y",5,1,"Medfra",1
"Ap",0,13,"10YR",4,3,"10YR",3,2,"Manastash",1
"AB",13,25,"10YR",5,3,"10YR",3,3,"Manastash",1
"Bt1",25,38,"10YR",5,3,"10YR",3,3,"Manastash",1
"Bt2",38,56,"10YR",4,4,"10YR",3,4,"Manastash",1
"Btk",56,64,"7.5YR",4,4,"7.5YR",3,4,"Manastash",1
"2Bkqm1",64,107,"10YR",8,1,"10YR",6,3,"Manastash",1
"2Bkqm2",107,152,"",,,"",,,"Manastash",1
"Oe",0,18,"5YR",3,3,"",,,"Magnetic",1
"Oa",18,36,"7.5YR",3,2,"",,,"Magnetic",1
"C",36,76,"5Y",5,2,"",,,"Magnetic",1
"R",76,0,"",,,"",,,"Magnetic",1
"Oi",0,3,"",,,"",,,"Angle",1
"A",3,8,"10YR",7,2,"",,,"Angle",1
"E",8,20,"10YR",7,2,"10YR",4,3,"Angle",1
"Bt1",20,61,"10YR",7,4,"10YR",5,6,"Angle",1
"Bt2",61,109,"10YR",8,4,"10YR",6,4,"Angle",1
"C",107,155,"",,,"",,,"Angle",1
"O1",0,3,"",,,"",,,"Yainax",1
"A1",3,15,"10YR",3,2,"10YR",6,2,"Yainax",1
"A2",15,38,"10YR",4,2,"10YR",7,2,"Yainax",1
"B1",38,64,"10YR",4,3,"10YR",7,2,"Yainax",1
"B2",64,81,"10YR",4,3,"10YR",5,2,"Yainax",1
"Cr",81,97,"10YR",7,3,"10YR",5,4,"Yainax",1
"Oi",0,3,"",,,"",,,"Utsalady",1
"E",3,5,"2.5YR",6,1,"2.5Y",7,1,"Utsalady",1
"Bw1",5,38,"10YR",4,6,"10YR",5,6,"Utsalady",1
"Bw2",38,79,"2.5Y",4,4,"2.5Y",5,4,"Utsalady",1
"Bw3",79,107,"2.5Y",4,2,"2.5Y",5,2,"Utsalady",1
"C",107,127,"2.5Y",4,2,"2.5Y",5,2,"Utsalady",1
"Cg1",127,140,"2.5Y",4,2,"2.5Y",5,2,"Utsalady",1
"Cg2",140,152,"10YR",4,3,"10YR",5,4,"Utsalady",1
"O1",0,13,"5YR",2,2,"",,,"Umiat",1
"O2",13,20,"5YR",2,1,"",,,"Umiat",1
"A1f",20,28,"10YR",3,2,"10YR",2,1,"Umiat",1
"C1f",28,61,"10YR",4,2,"10YR",2,2,"Umiat",1
"A1",0,3,"10YR",5,3,"",,,"Arrowhead",2
"A2",3,13,"10YR",5,3,"",,,"Arrowhead",2
"BAt",13,23,"7.5YR",5,3,"",,,"Arrowhead",2
"Bt1",23,38,"7.5YR",6,4,"7.5YR",5,6,"Arrowhead",2
"Bt2",38,81,"7.5YR",6,6,"",,,"Arrowhead",2
"R",81,0,"",,,"",,,"Arrowhead",2
"Ap",0,13,"10YR",5,3,"7.5YR",3,2,"Modjeska",2
"B1",13,36,"7.5YR",5,2,"7.5YR",3,2,"Modjeska",2
"B2",36,71,"5YR",5,3,"",,,"Modjeska",2
"B3",71,119,"5YR",5,3,"5YR",5,3,"Modjeska",2
"C",119,160,"7.5YR",6,4,"",,,"Modjeska",2
"A11",0,18,"10YR",6,2,"10YR",5,4,"Huichica",2
"A12",18,36,"10YR",6,3,"10YR",4,3,"Huichica",2
"A2",36,58,"10YR",7,2,"10YR",5,3,"Huichica",2
"B2t",58,76,"10YR",5,2,"10YR",3,2,"Huichica",2
"C1m",76,91,"2.5Y",8,2,"10YR",4,3,"Huichica",2
"C2m",91,119,"2.5Y",8,2,"10YR",4,3,"Huichica",2
"C3",119,145,"10YR",8,2,"10YR",5,2,"Huichica",2
"A",0,10,"10YR",6,2,"",,,"Seaman",2
"C1",10,36,"10YR",6,2,"",,,"Seaman",2
"C2",36,61,"10YR",7,2,"10YR",4,3,"Seaman",2
"A",0,10,"10YR",5,3,"10YR",4,3,"Jackpot",2
"Bw",10,28,"10YR",6,3,"10YR",4,3,"Jackpot",2
"C",28,0,"",,,"",,,"Jackpot",2
"An",0,13,"10YR",3,2,"",,,"Chinarise",2
"Bn1",13,23,"10YR",3,2,"10YR",5,1,"Chinarise",2
"Bn2",23,46,"10YR",3,2,"10YR",5,1,"Chinarise",2
"Bw1",46,74,"10YR",3,2,"10YR",5,1,"Chinarise",2
"Bw2",74,127,"10YR",3,3,"10YR",6,2,"Chinarise",2
"C",127,152,"10YR",4,2,"10YR",7,2,"Chinarise",2
"A1",0,5,"2.5Y",6,2,"",,,"Biddleman",2
"A2",5,10,"2.5Y",6,2,"",,,"Biddleman",2
"Btn1",10,25,"2.5Y",6,2,"",,,"Biddleman",2
"Btn2",25,38,"10YR",5,3,"10YR",4,3,"Biddleman",2
"2Bk",38,61,"10YR",7,2,"10YR",5,2,"Biddleman",2
"2C",61,152,"10YR",7,2,"10YR",5,2,"Biddleman",2
"A1",0,5,"10YR",4,2,"",,,"Sawabe",2
"A2",5,13,"10YR",6,2,"",,,"Sawabe",2
