series,tp,bn,cs,gs
STUBBLEFIELD,0,1,0,0
STYLITE,0,0,0,1
SUCARNOOCHEE,0,0,1,0
SUDDEN,0,0,1,0
SUDWORTH,0,0,0,1
SULA,0,0,1,1
SUFFOLK,0,0,0,1
SUMATRA,0,0,0,1
SUMMERLAND,0,0,1,1
SUNBEAM,0,0,1,1
SUNBURST,0,0,1,1
SUNDELL,0,0,0,1
SUNKEN,0,0,1,1
SUNTRANA,0,0,0,1
SURDAL,0,0,1,0
SURRENCY,0,0,1,1
SUSIVAR,0,0,0,1
SWAINTON,0,0,1,1
SWAKANE,0,0,1,1
SWALA,0,0,1,1
SWAMPCREEK,0,0,1,0
SWAMPYDRAW,0,0,1,0
SWEATLODGE,0,0,0,1
SWEDESBORO,0,0,1,1
SWEDNA,0,0,0,1
SWEETGRASS,0,0,0,1
SWEETWEED,0,0,1,1
SWIFTCREEK,0,0,1,0
SWIFTCURRENT,0,0,1,1
SWILLNA,0,0,0,1
VILLSPRINGS,0,0,1,0
SWINGSTATION,0,0,1,0
TAFOYA,0,0,1,1
TAGLAKE,0,0,0,1
TALAPUS,0,0,1,1
TALLY,0,0,1,1
TAMANEEN,0,0,1,1
TAMANOS,0,0,0,1
THOENY,0,0,1,1
TAMARACK,0,0,1,0
TANGAIR,0,0,0,1
TANGIER,0,0,1,1
TANGOE,0,0,0,1
TANNA,0,0,1,1
TARBORO,0,0,1,1
TARGHEE,0,0,1,0
TARRETE,0,0,0,1
TIDBITS,0,0,0,1
TENERIFFE,0,0,1,0
TATOOSH,0,0,0,1
TAWCAW,0,0,0,1
TAYLORSVILLE,0,0,0,1
TEAKETTLE,0,0,1,0
TECHICKNOT,0,1,0,0
TELAY,0,0,0,1
TELSTAD,0,0,0,1
TENDERFOOT,0,1,0,0
TENEX,0,0,0,1
TEPECREEK,0,0,0,1
TERRODD,0,1,0,1
TERLAK,0,0,0,1
TERLOUGH,0,0,0,1
TERRAD,0,0,0,1
TERTOO,0,0,0,1
TETON,0,0,1,1
TETONVIEW,0,0,1,0
TETOTUM,0,0,1,1
TEWFEL,0,0,1,1
TEXLINE,0,0,0,1
THADER,0,0,0,1
THAINCREEK,0,1,1,0
THATUNA,0,0,1,1
THERMOPOLIS,0,0,1,0
THIBADEAU,0,0,1,1
THIRSTYGULCH,0,0,1,0
THIRTYNINE,0,0,1,0
THOMSON,0,0,1,1
THOROUGHFARE,0,0,0,1
THREECABIN,0,0,1,0
THREERIV,0,0,1,0
THUNDERHEAD,0,0,1,0
THURSA,0,0,1,1
TIBAN,0,0,1,0
TIBS,0,0,0,1
TIBURONES,0,0,0,1
TIECHUTE,0,0,1,0
TIGARAHA,0,0,0,1
TIGER CREEK,0,0,0,1
TIGERON,0,0,1,1
TILFORD,0,0,0,1
TILLERY,0,0,1,1
TIMBERLIN,0,0,0,1
TINSLEY,0,0,1,0
TINTON,0,0,0,1
TIPPETT,0,0,0,1
TIPSOO,0,0,1,1
TIRZAH,0,0,1,0
TIZZARD,0,0,0,1
TOAST,0,0,1,1
TOKALOO,0,0,0,1
TOKO,0,0,0,1
TOKOSITNA,0,0,0,1
TOLEAK,0,0,0,1
TOLEX,0,0,0,1
TOLLFLAT,0,0,1,1
TOMLIN,0,0,0,1
TOMOTLEY,0,0,1,1
TOONE,0,0,0,1
TOPHAT,0,0,1,0
TOQUOP,0,0,0,1
TORCHLIGHT,0,0,0,1
TORPEDO LAKE,0,0,0,1
TORSIDO,0,0,0,1
TOSTON,0,0,0,1
WANDO,0,0,1,1
TRAILHOLLOW,0,0,1,0
TRAPPE,0,0,1,1
TRAPPER,0,0,0,1
TRAPPS,0,0,0,1
TRAVANS,0,0,1,1
TRELOAR,0,1,0,0
TRIANGLE,0,0,0,1
TRICART,0,0,1,1
TRIMAD,0,0,1,0
TROOK,0,0,1,0
TRUDAU,0,0,1,0
TRUITT,0,0,1,1
TRUSSUM,0,0,0,1
TSADAKA,0,0,0,1
TUFFIT,0,0,1,1
TUGGLE,0,0,1,1
TUGGLESGAP,0,0,0,1
TULEBASIN,0,0,0,1
TUMBLE,0,0,1,1
TUNITAS,0,0,0,1
TUNRAVIK,0,0,1,1
TUSSAHAW,0,0,0,1
TURPENTINE,0,0,0,1
TURSON,0,0,1,0
TURTLESPRINGS,0,0,1,0
TUSCOLA,0,1,0,0
TUWEEP,0,1,0,0
TWINADAMS,0,0,1,0
TWOCOLOR,0,0,0,1
TWOGIRLS,0,0,1,1
TYENDE,0,1,0,0
UDECIDE,0,0,0,1
UFISH,0,0,0,1
UHLIG,0,0,1,1
WATE,0,0,1,1
ULRIC,0,0,1,0
UNGIUQ,0,0,0,1
UNICOI,0,0,1,1
UNICORNPEAK,0,0,0,1
UPPERSODA,0,0,0,1
UPSHUR,0,0,1,1
USTIUGOF,0,0,0,1
UTABA,0,0,0,1
UTLEY,0,0,1,1
VAEDA,0,0,0,1
VALPEY,0,0,0,1
VAN HORN,0,0,0,1
VANDA,0,0,1,1
VANDALIA,0,0,1,1
VANELLA,0,0,1,1
VANOCKER,0,0,1,0
VANSTEL,0,0,1,1
VANTRUMP,0,0,1,1
VARINA,0,0,1,1
VARNEY,0,0,1,0
VASSETT,0,0,1,1
VAUCLUSE,0,0,0,1
VENDOME,0,0,0,1
VERBOORT,0,0,0,1
VERDE,0,0,0,1
WARHORSE,0,0,0,1
VERSHAL,0,0,1,0
VERSON,0,0,0,1
VEYO,0,0,0,1
VIA,0,0,0,1
VICKTON,0,0,1,0
VIDA,0,0,0,1
VILLARD,0,0,1,0
VILLY,0,0,1,1
VINCOM,0,0,0,1
VISION,0,0,0,1
VITROFF,0,0,1,0
VO,0,0,1,0
VOATS,0,0,1,1
VOLBORG,0,0,1,1
WAGRAM,0,0,1,1
WAGONWHEEL,0,0,1,1
WAHEE,0,0,1,1
WAHPENAYO,0,0,1,1
WALBERT,0,0,0,1
WALDBILLIG,0,0,1,0
WALKNOLLS,0,0,1,0
WALSTEAD,0,0,1,1
WALTHAM,0,0,1,1
WARFIELD,0,0,1,0
WEINGART,0,0,1,1
WARNE,0,0,1,1
WARWOOD,0,0,1,1
WASDA,0,0,0,1
WASILLA,0,0,0,1
WATERDOG,0,0,1,0
WATSONDRAW,0,0,1,0
WAYWEST,0,0,1,0
WEEDMARK,0,0,1,1
WEEDZUNIT,0,0,0,1
WEEKSVILLE,0,0,0,1
WELBY,0,0,0,1
WESTFIELD,0,0,1,1
WESTINDIAN,0,0,1,0
WESTMORELAND,0,0,0,1
WETPARK,0,1,0,0
WHARTON,0,0,1,1
WHEATBELT,0,0,0,1
WHISTLESTOP,0,0,0,1
WHITE STORE,0,1,0,0
WHITEACORN,0,0,1,0
WHITEARTH,0,0,1,1
WHITEFISH,0,0,0,1
WHITEMARSH,0,0,1,1
WHITEPINE,0,0,0,1
WHITEWATER,0,0,1,0
WOLFTRAP,0,0,0,1
WHITLASH,0,0,1,0
WHITNEY,0,0,1,0
WHITORE,0,0,1,0
WHITTINGTON,0,0,1,1
WOODMANSIE,0,0,1,1
WICKES,0,0,1,0
WIDEN,0,0,1,1
WIDEWATER,0,0,1,1
WIDGETT,0,0,0,1
WILDE,0,0,0,1
WILDELL,0,0,1,1
WILDGEN,0,0,1,0
WILEYFLAT,0,0,1,0
WILHELM,0,0,1,0
WILLAPA,0,0,1,1
WILLIWAKAS,0,0,1,1
WILLOW,0,0,1,1
WILSALL,0,1,0,0
WILSPRING,0,0,0,1
WIMPER,0,0,1,0
WINDICREEK,0,0,1,0
WINDLASS,0,0,0,1
WINFALL,0,0,1,0
WINGINAW,0,0,0,1
WINIFRED,0,0,1,1
WINKLER,0,0,1,0
WINONA,0,1,0,0
WINSHIP,0,0,0,1
WINSPECT,0,0,1,0
WINTERCANYON,0,0,1,0
WINWELL,0,0,1,0
WISBY,0,0,1,0
WIST,0,0,0,1
WONDER,0,0,1,0
WONDERLAND,0,0,1,1
WOODGULCH,0,0,0,1
WOODHURST,0,0,1,0
WOODPASS,0,0,0,1
WOODSTOWN,0,0,1,1
WOOLWINE,0,0,1,1
WORK,0,0,1,0
WOROCK,0,0,1,0
XERIBRUSH,0,0,1,0
WOVER,0,0,0,1
YADKIN,0,0,0,1
YAMACALL,0,0,1,0
YAPLE,0,0,1,0
YARDLEY,0,0,0,1
YEGEN,0,0,0,1
YELJACK,0,0,0,1
YELLOWBAY,0,0,1,1
YELLOWMULE,0,0,1,0
YENSUS,0,0,0,1
YEOMAN,0,0,0,1
YEOPIM,0,0,1,1
YETULL,0,0,1,0
YMARK,0,0,0,1
YNOT,0,0,1,1
YOHN,0,0,0,1
YOLO,0,0,0,1
YORK,0,0,0,1
YOURAME,0,0,1,1
YREKA,0,0,1,0
YSIDORA,0,0,0,1
ZADE,0,0,0,1
ZAHILL,0,0,0,1
ZANESVILLE,0,0,0,1
ZANGO,0,0,1,1
ZATONY,0,0,1,1
ZATOVILLE,0,0,1,1
ZBART,0,0,0,1
ZEALE,0,0,1,0
ZEESIX,0,0,0,1
ZEKIAH,0,0,0,1
ZELDA,0,0,0,1
ZER,0,1,0,0
ZION,0,0,1,1
ZONITE,0,0,0,1
ZUBER,0,0,0,1
ZYGORE,0,0,1,1
ZYZYL,0,0,0,1
