series,tp,bn,cs,gs
BRIDGEFORE,0,0,1,0
BRIDGER,0,0,1,0
BRIDGEWATER,0,0,1,1
BRINCKEN,0,0,0,1
BRISTON,0,0,1,1
BROADKILL,0,0,0,1
BROADUS,0,0,1,1
BROBACK,0,0,1,0
BROCKATONORTON,0,0,0,1
BROCKWAY,0,0,1,0
BRODIE,0,0,1,0
BRODYK,0,0,0,1
BRONTE,0,0,0,1
BROWDER,0,0,1,1
BRUNELDA,0,0,1,1
BRUSHFIRE,0,0,1,0
BRUSHTON,0,0,1,1
BURRFOOT,0,0,0,1
BUCKLEY,0,0,0,1
BUCKLOAF,0,0,1,0
BUDDTOWN,0,0,1,1
BUELL,0,0,0,1
BUFFSTAT,0,0,1,1
ELKTON,0,0,1,1
BUGLEY,0,0,0,1
BUIST,0,0,1,0
BULGAR,0,0,0,1
BUSH RIVER,0,0,1,1
BULLCREEK,0,0,0,1
BULLFLAT,0,0,0,1
BULLHOOK,0,0,0,1
CABELL,0,0,1,1
BYCRACKY,0,0,0,1
BULLNEL,0,0,0,1
BULLREY,0,0,1,0
BULLTOP,0,0,1,0
BUNTING,0,1,0,0
BURGERBUTTE,0,0,1,0
BURGI,0,0,0,1
ENOCHVILLE,0,0,1,1
BURGRAFF,0,0,0,1
BURNEL,0,0,1,1
BURNETTE,0,0,1,0
BURROUGHS,0,0,1,1
BUSBY,0,0,0,1
BUSHONG,0,0,0,1
BUTLERTOWN,0,0,0,1
BUTTERS,0,0,1,1
CABBA,0,0,0,1
CABINCREEK,0,0,1,1
CADENZA,0,0,1,1
CADOTTE,0,0,1,1
CALDWELL,0,0,1,1
CALERA,0,0,1,1
CALPET,0,0,1,0
CAMBERT,0,0,1,1
CAMBETH,0,0,1,1
CAMEO,0,0,1,0
CAMPSPASS,0,0,0,1
CANAAN VALLEY,0,0,1,1
CANARWAY,0,0,1,0
CANDOR,0,0,0,1
CANEZ,0,0,0,1
CANTHOOK,0,0,1,0
CANWALL,0,0,0,1
CAPE FEAR,0,0,0,1
CAPE LOOKOUT,0,0,0,1
CARAMON,0,0,1,1
CARBON,0,0,0,1
CARDOVA,0,0,0,1
CARDWELL,0,0,0,1
CARETT,0,0,0,1
CARFALL,0,0,1,1
CARMICHAEL,0,0,1,1
CARRACAS,0,0,1,0
CARROLLTON,0,0,1,0
CARTEN,0,0,1,1
CASCADIA,0,0,1,1
CASEYCREEK,0,0,1,1
CASTLE,0,0,0,1
CATASKA,0,0,1,1
CATDRAW,0,0,1,0
CATEACHE,0,0,1,1
CATHARPIN,0,0,0,1
CATLINSPRINGS,0,0,1,0
CAVAL,0,1,0,0
CEDARCREEK,0,0,1,1
CEDARPASS,0,0,1,0
CEDRIC,0,0,0,1
CENTENARY,0,0,1,1
CENTERFIELD,0,0,0,1
CENTINELA,0,0,0,1
CENTRALIA,0,0,1,1
CESTNIK,0,0,0,1
CETRACK,0,0,1,1
CHAMATE,0,0,1,1
CHANTILLY,0,0,1,1
CHAPANOKE,0,0,1,1
CHARCOL,0,0,0,1
CHASTAIN,0,0,0,1
CHAVIES,0,0,1,1
CHEADLE,0,0,1,0
CHEEBE,0,0,1,0
CHEHALIS,0,0,0,1
CHENUIS,0,0,1,1
CHEREETE,0,0,1,0
CHERRYHILL,0,0,0,1
CHESAPEAKE,0,0,1,1
CHESTNUT,0,0,1,1
CHETCO,0,0,1,0
CHEWACLA,0,0,1,0
CHICHAGOF,0,0,0,1
CHICKAMAN,0,0,0,1
CHICKENHILL,0,0,1,0
CHICKENRIDGE,0,0,0,1
CHICONE,0,0,0,1
COOSAW,0,0,1,1
CHILLIGAN,0,0,0,1
CHILLUM,0,0,1,1
CHINATOWN,0,0,1,0
CHIPMAN,0,0,1,0
CHIPPY,0,0,1,0
CLARENDON,0,0,0,1
CHIPS,0,0,1,1
CLYMER,0,0,1,1
CHISOLM,0,0,0,1
CHRISTIANA,0,0,0,1
CHRISTY,0,0,1,1
CHUCKSNEY,0,0,0,1
CHURCH,0,0,0,1
CITADEL,0,0,0,1
CITIVAR,0,0,0,1
CLANCY,0,0,0,1
CLASOIL,0,0,1,0
CLARENA,0,0,0,1
CLARK FORK,0,0,1,0
CLARKSBURG,0,0,1,1
COMAD,0,0,1,0
CLARKSTONE,0,0,0,1
CLEARCREEK,0,0,0,1
CLIFFORD,0,0,1,1
CLIFFTOP,0,0,1,1
COFFIN,0,0,1,0
CLOVER,0,0,1,1
COALVALE,0,0,0,1
COBBLANK,0,0,0,1
COBEN,0,0,1,1
COBEY,0,0,1,1
COLTS NECK,0,0,1,1
COBURG,0,0,1,1
COCOLALLA,0,0,1,1
COEROCK,0,0,0,1
COILS,1,0,0,0
COLAKE,0,0,1,0
COLEMANTOWN,0,0,0,1
COLESCREEK,0,0,0,1
COLLINGTON,0,0,1,1
COLLINSTON,0,0,1,0
COLMOR,0,0,0,1
COMET,0,0,0,1
COMETCRIK,0,0,0,1
COMMISSARY,0,0,1,0
COMO,0,0,1,0
CONABY,0,0,0,1
CONETOE,0,0,1,0
CONN,0,0,1,0
CONNAH,0,0,1,1
CONNET,0,0,0,1
CONPEAK,0,0,0,1
CONSER,0,0,1,1
CONWAYCREEK,0,0,1,0
COOCREEK,0,0,1,1
COOERS,0,0,1,1
COOKCREEK,0,0,1,1
COOKSON,0,1,0,0
COOLCAMP,0,0,1,1
COPENHAVER,0,0,1,0
CORA,0,0,1,1
CORBLY,0,0,0,1
CORDESTON,0,0,1,0
COROZAL,0,0,0,1
CORWITH,0,0,1,1
COSHOCTON,0,0,1,1
COSTILLA,0,0,1,0
COTAY,0,0,1,1
